Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1574431784.5274937,7660,1574431784,526129007,,-6.2,0.0,0.0
1574431784.575236,7661,1574431784,574400901,,-6.2,0.0,0.0
1574431784.6237037,7662,1574431784,622383117,,-6.2,0.0,0.0
1574431784.6717074,7663,1574431784,670593023,,-6.2,0.0,0.0
1574431784.7193923,7664,1574431784,718683004,,-6.2,0.0,0.0
1574431784.7669582,7665,1574431784,766288995,,-6.2,0.0,0.0
1574431784.8151069,7666,1574431784,814459085,,-6.2,0.0,0.0
1574431784.8630855,7667,1574431784,862443923,,-6.2,0.0,0.0
1574431784.9275746,7668,1574431784,926749944,,-6.2,0.0,0.0
1574431784.975017,7669,1574431784,974343061,,-6.2,0.0,0.0
1574431785.0234845,7670,1574431785,22660970,,-6.2,0.0,0.0
1574431785.0709133,7671,1574431785,70306062,,-6.171428571428572,0.0,0.0
1574431785.1204276,7672,1574431785,118643999,,-6.171428571428572,0.0,0.0
1574431785.166927,7673,1574431785,166264057,,-6.171428571428572,0.0,0.0
1574431785.2152722,7674,1574431785,214524030,,-6.171428571428572,0.0,0.0
1574431785.2791111,7675,1574431785,278343915,,-6.171428571428572,0.0,0.0
1574431785.3271327,7676,1574431785,326569080,,-6.1571428571428575,0.0,0.0
1574431785.3751643,7677,1574431785,374356985,,-6.1571428571428575,0.0,0.0
1574431785.4240897,7678,1574431785,422844886,,-6.128571428571429,0.0,0.0
1574431785.4716747,7679,1574431785,470621109,,-6.114285714285714,0.0,0.0
1574431785.518782,7680,1574431785,518457889,,-6.085714285714285,0.702,0.0
1574431785.5669508,7681,1574431785,566428899,,-6.071428571428571,0.702,0.0
1574431785.6310432,7682,1574431785,630558967,,-6.042857142857143,0.0,0.0
1574431785.6792948,7683,1574431785,678569078,,-6.0285714285714285,0.702,0.0
1574431785.7281587,7684,1574431785,727083921,,-6.0285714285714285,0.702,0.0
1574431785.7753177,7685,1574431785,774591922,,-6.0285714285714285,1.404,0.0
1574431785.82345,7686,1574431785,822913885,,-6.0285714285714285,0.0,0.0
1574431785.871333,7687,1574431785,870744943,,-6.0,2.106,0.0
1574431785.9204838,7688,1574431785,919071912,,-5.9714285714285715,1.404,0.0
1574431785.9672377,7689,1574431785,966655969,,-5.885714285714286,2.106,0.0
1574431786.031832,7690,1574431786,31056880,,-5.757142857142857,2.106,0.0
1574431786.079532,7691,1574431786,78665971,,-5.285714285714286,2.106,0.0
1574431786.1282222,7692,1574431786,127298116,,-4.6,3.51,0.0
1574431786.175142,7693,1574431786,174721002,,-3.7285714285714286,3.51,0.0
1574431786.223973,7694,1574431786,223129034,,-2.857142857142857,4.212,0.0
1574431786.27134,7695,1574431786,270883083,,-2.4,4.212,0.0
1574431786.3203144,7696,1574431786,319319009,,-2.2714285714285714,4.212,0.0
1574431786.383734,7697,1574431786,382846117,,-2.2714285714285714,5.616,0.0
1574431786.4321418,7698,1574431786,431150913,,-2.242857142857143,5.616,0.0
1574431786.479196,7699,1574431786,478910923,,-2.242857142857143,7.02,0.0
1574431786.5309608,7700,1574431786,527836084,,-2.242857142857143,5.616,0.0
1574431786.5755293,7701,1574431786,574985027,,-2.242857142857143,7.722,0.0
1574431786.624189,7702,1574431786,623256921,,-2.242857142857143,7.722,0.0
1574431786.6718307,7703,1574431786,670967102,,-2.242857142857143,8.424,0.0
1574431786.7204978,7704,1574431786,719290971,,-2.242857142857143,8.424,0.0
1574431786.7840335,7705,1574431786,783328056,,-2.242857142857143,9.828,0.0
1574431786.8359451,7706,1574431786,831140041,,-2.242857142857143,9.126,0.0
1574431786.8795457,7707,1574431786,879049062,,-2.242857142857143,10.53,0.0
1574431786.92876,7708,1574431786,927381038,,-2.242857142857143,9.828,0.0
1574431786.9753833,7709,1574431786,975105047,,-2.2857142857142856,11.232,0.0
1574431787.0241055,7710,1574431787,23541927,,-2.5714285714285716,10.53,0.0
1574431787.071749,7711,1574431787,71163892,,-3.2714285714285714,11.934,0.0
1574431787.1392434,7712,1574431787,135545015,,-3.7714285714285714,11.232,0.0
1574431787.1837933,7713,1574431787,183195114,,-3.8142857142857145,12.636,0.0
1574431787.2323825,7714,1574431787,231529951,,-3.8142857142857145,12.636,0.0
1574431787.279574,7715,1574431787,279234886,,-3.8142857142857145,14.04,0.0
1574431787.3290155,7716,1574431787,328099966,,-3.8142857142857145,13.338,0.0
1574431787.3761365,7717,1574431787,375483036,,-3.8142857142857145,14.04,0.0
1574431787.424469,7718,1574431787,423512935,,-3.7714285714285714,14.742,0.0
1574431787.4723144,7719,1574431787,471328973,,-3.7142857142857144,14.04,0.0
1574431787.537332,7720,1574431787,535738945,,-3.6857142857142855,15.444,0.0
1574431787.5843174,7721,1574431787,583475112,,-3.6857142857142855,15.444,0.0
1574431787.632184,7722,1574431787,631685972,,-3.6857142857142855,16.848,0.0
1574431787.6803863,7723,1574431787,679692983,,-3.6857142857142855,15.444,0.0
1574431787.7296143,7724,1574431787,727890014,,-3.6857142857142855,16.848,0.0
1574431787.7763927,7725,1574431787,775561094,,-3.6857142857142855,17.55,0.0
1574431787.824704,7726,1574431787,823913097,,-3.6857142857142855,17.55,0.0
1574431787.8891532,7727,1574431787,887823104,,-3.6857142857142855,17.55,0.0
1574431787.9367871,7728,1574431787,936064004,,-3.6857142857142855,18.252,0.0
1574431787.9842165,7729,1574431787,983589887,,-3.6714285714285713,18.954,0.0
1574431788.0328436,7730,1574431788,31924009,,-3.4714285714285715,18.954,0.0
1574431788.0804753,7731,1574431788,79662084,,-3.2285714285714286,18.954,0.0
1574431788.1291509,7732,1574431788,128618955,,-3.2142857142857144,19.656,0.0
1574431788.176125,7733,1574431788,175743103,,-3.2142857142857144,19.656,0.0
1574431788.240126,7734,1574431788,239631891,,-3.2142857142857144,21.06,0.0
1574431788.288687,7735,1574431788,287781000,,-3.2142857142857144,21.06,0.0
1574431788.3368516,7736,1574431788,336199045,,-3.2142857142857144,21.06,0.0
1574431788.3843114,7737,1574431788,383879899,,-3.2142857142857144,21.06,0.0
1574431788.4330077,7738,1574431788,432085037,,-3.2142857142857144,21.762,0.0
1574431788.4803905,7739,1574431788,479794979,,-3.2142857142857144,21.762,0.0
1574431788.5298617,7740,1574431788,528821945,,-3.2142857142857144,22.464,0.0
1574431788.577734,7741,1574431788,576082944,,-3.2142857142857144,23.166,0.0
1574431788.6411932,7742,1574431788,640396118,,-3.2142857142857144,23.166,0.0
1574431788.6889946,7743,1574431788,688128948,,-3.2142857142857144,22.464,0.0
1574431788.73753,7744,1574431788,736210107,,-3.2285714285714286,23.868,0.0
1574431788.7849867,7745,1574431788,784113883,,-3.2285714285714286,25.272,0.0
1574431788.833333,7746,1574431788,832201004,,-3.4,23.868,0.0
1574431788.8810344,7747,1574431788,880038022,,-3.5142857142857142,23.868,0.0
1574431788.929595,7748,1574431788,928349018,,-3.5285714285714285,25.272,0.0
1574431788.993592,7749,1574431788,992161035,,-3.6857142857142855,25.272,0.0
1574431789.0407438,7750,1574431789,40285110,,-3.857142857142857,25.272,0.0
1574431789.0890841,7751,1574431789,88318109,,-3.857142857142857,25.272,0.0
1574431789.137545,7752,1574431789,136290073,,-3.9857142857142858,26.676,0.0
1574431789.1848636,7753,1574431789,184354066,,-4.514285714285714,26.676,0.0
1574431789.2328296,7754,1574431789,232356071,,-4.885714285714286,25.974,0.0
1574431789.281049,7755,1574431789,280292034,,-4.9714285714285715,27.378,0.0
1574431789.3290915,7756,1574431789,328603029,,-5.0,26.676,0.0
1574431789.3931878,7757,1574431789,392472028,,-5.0,27.378,0.0
1574431789.441692,7758,1574431789,440406084,,-5.0,27.378,0.0
